Al,Si,Ti,V,Cr,Zr,Nb,Mo,Hf,Ta,W,Tm,delta,To,t,protective_sum,risk_sum,Al_Cr_interaction,thermal_dose,kinetics_class
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.476,0.0,-0.1831547929923847,-0.1696790496148795,0.0,-0.4693877551020408,0.0,0.8,0.0,-0.4907975460122699,0
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.476,0.0,-0.1831547929923847,-0.1696790496148795,0.0,0.0204081632653061,0.0,0.8,0.0,0.0,0
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.476,0.0,-0.1831547929923847,-0.1696790496148795,0.0,0.5306122448979592,0.0,0.8,0.0,0.5112474437627812,0
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.476,0.0,-0.8543553086124543,-0.0819012365534728,-0.3333333333333333,-0.4693877551020408,0.5,0.0,1.2345679012345678,-0.492842535787321,0
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.476,0.0,-0.8543553086124543,-0.0819012365534728,-0.3333333333333333,0.0204081632653061,0.5,0.0,1.2345679012345678,-0.0511247443762781,0
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.476,0.0,-0.8543553086124543,-0.0819012365534728,-0.3333333333333333,0.5306122448979592,0.5,0.0,1.2345679012345678,0.4089979550102249,0
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.476,0.0,-0.8543553086124543,-0.0819012365534728,0.0,-0.4693877551020408,0.5,0.0,1.2345679012345678,-0.4907975460122699,0
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.476,0.0,-0.8543553086124543,-0.0819012365534728,0.0,0.0204081632653061,0.5,0.0,1.2345679012345678,0.0,0
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.476,0.0,-0.8543553086124543,-0.0819012365534728,0.0,0.5306122448979592,0.5,0.0,1.2345679012345678,0.5112474437627812,0
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.476,0.0,-0.8543553086124543,-0.0819012365534728,0.3333333333333333,-0.4693877551020408,0.5,0.0,1.2345679012345678,-0.4887525562372188,0
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.476,0.0,-0.8543553086124543,-0.0819012365534728,0.3333333333333333,0.0,0.5,0.0,1.2345679012345678,0.0286298568507157,0
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.476,0.0,-0.8543553086124543,-0.0819012365534728,0.3333333333333333,0.4897959183673469,0.5,0.0,1.2345679012345678,0.5685071574642127,0
0.0,0.0,-3.3613445378151265,1.0,0.0,0.0,0.0,1.0,0.0,0.524,20.0,1.857391857769404,-0.7056969122269973,0.0,-0.4693877551020408,-0.5,0.0,0.0,-0.4907975460122699,0
0.0,0.0,-3.3613445378151265,1.0,0.0,0.0,0.0,1.0,0.0,0.524,20.0,1.857391857769404,-0.7056969122269973,0.0,0.0,-0.5,0.0,0.0,-0.0204498977505112,0
0.0,0.0,-3.3613445378151265,1.0,0.0,0.0,0.0,1.0,0.0,0.524,20.0,1.857391857769404,-0.7056969122269973,0.0,0.4897959183673469,-0.5,0.0,0.0,0.4703476482617587,0
0.0,0.0,-3.3613445378151265,1.0,0.0,0.0,0.0,1.0,0.0,0.524,20.0,1.857391857769404,-0.7056969122269973,0.6666666666666666,-0.4693877551020408,-0.5,0.0,0.0,-0.4867075664621677,0
