Al,Si,Ti,V,Cr,Zr,Nb,Mo,Hf,Ta,W,Tm,delta,To,t,protective_sum,risk_sum,Al_Cr_interaction,thermal_dose,predicted_n,log10_k,alloy_group,kinetics_class
0.0,0.0,0.8403361344537816,1.25,0.0,0.0,0.9090909090909091,0.0,0.0,0.774,0.0,0.6725039485027153,-0.9336324025270903,0.0,-0.24489795918367346,-0.5,0.2,0.0,-0.2658486707566462,-1.0,2.462397997898956,TiVNbTa,0
0.0,0.0,0.8403361344537816,1.25,0.0,0.0,0.9090909090909091,0.0,0.0,0.774,0.0,0.6725039485027153,-0.9336324025270903,0.0,0.0,-0.5,0.2,0.0,-0.02044989775051125,-1.0,2.462397997898956,TiVNbTa,0
0.0,0.0,0.8403361344537816,1.25,0.0,1.25,0.9090909090909091,0.0,0.0,-0.476,0.0,-0.1435461644464857,0.0,-1.0,-0.46938775510204084,-0.5,1.2,0.0,-0.49693251533742333,-1.0,1.6989700043360187,TiVZrNb,0
0.0,0.0,0.8403361344537816,1.25,0.0,1.25,0.9090909090909091,0.0,0.0,-0.476,0.0,-0.1435461644464857,0.0,-1.0,0.5306122448979592,-0.5,1.2,0.0,0.20449897750511248,-1.0,1.6989700043360187,TiVZrNb,0
0.0,0.0,0.8403361344537816,1.25,0.0,1.25,0.9090909090909091,0.0,0.0,-0.476,0.0,-0.1435461644464857,0.0,-1.0,1.5510204081632653,-0.5,1.2,0.0,0.9202453987730062,-1.0,1.6989700043360187,TiVZrNb,0
0.0,0.0,0.8403361344537816,1.25,0.0,1.25,0.9090909090909091,0.0,0.0,-0.476,0.0,-0.1435461644464857,0.0,-0.6666666666666666,-0.46938775510204084,-0.5,1.2,0.0,-0.4948875255623722,-1.0,2.060697840353612,TiVZrNb,0
0.0,0.0,0.8403361344537816,1.25,0.0,1.25,0.9090909090909091,0.0,0.0,-0.476,0.0,-0.1435461644464857,0.0,-0.6666666666666666,0.5306122448979592,-0.5,1.2,0.0,0.3067484662576687,-1.0,2.060697840353612,TiVZrNb,0
0.0,0.0,0.8403361344537816,1.25,0.0,1.25,0.9090909090909091,0.0,0.0,-0.476,0.0,-0.1435461644464857,0.0,-0.6666666666666666,1.5510204081632653,-0.5,1.2,0.0,1.1247443762781186,-1.0,2.060697840353612,TiVZrNb,0
0.0,0.0,0.8403361344537816,1.25,0.0,1.25,0.9090909090909091,0.0,0.0,-0.476,0.0,-0.1435461644464857,0.0,0.0,-0.46938775510204084,-0.5,1.2,0.0,-0.49079754601226994,-1.0,2.380211241711606,TiVZrNb,0
0.0,0.0,0.8403361344537816,1.25,0.0,1.25,0.9090909090909091,0.0,0.0,-0.476,0.0,-0.1435461644464857,0.0,0.0,0.02040816326530612,-0.5,1.2,0.0,0.0,-1.0,2.380211241711606,TiVZrNb,0
